X,Y
"[17.0, 49.0, 59.0, 77.0, 119.0, 132.0, 147.0, 161.0, 164.0, 164.0, 196.0, 212.0, 238.0, 252.0, 323.0, 352.0, 377.0, 385.0, 385.0, 432.0, 462.0, 483.0, 534.0, 566.0, 571.0, 629.0, 641.0, 682.0, 690.0, 721.0, 721.0, 729.0, 730.0, 733.0, 762.0, 805.0, 818.0, 840.0, 882.0, 910.0, 911.0, 911.0, 911.0, 912.0, 912.0, 912.0, 913.0, 913.0, 914.0, 914.0, 914.0, 915.0, 916.0, 917.0, 917.0, 919.0, 945.0, 955.0, 1040.0, 1091.0]","[0.016666666666666666, 0.03333333333333333, 0.05, 0.06666666666666667, 0.08333333333333333, 0.1, 0.11666666666666667, 0.13333333333333333, 0.15, 0.16666666666666666, 0.18333333333333332, 0.2, 0.21666666666666667, 0.23333333333333334, 0.25, 0.26666666666666666, 0.2833333333333333, 0.3, 0.31666666666666665, 0.3333333333333333, 0.35, 0.36666666666666664, 0.38333333333333336, 0.4, 0.4166666666666667, 0.43333333333333335, 0.45, 0.4666666666666667, 0.48333333333333334, 0.5, 0.5166666666666667, 0.5333333333333333, 0.55, 0.5666666666666667, 0.5833333333333334, 0.6, 0.6166666666666667, 0.6333333333333333, 0.65, 0.6666666666666666, 0.6833333333333333, 0.7, 0.7166666666666667, 0.7333333333333333, 0.75, 0.7666666666666667, 0.7833333333333333, 0.8, 0.8166666666666667, 0.8333333333333334, 0.85, 0.8666666666666667, 0.8833333333333333, 0.9, 0.9166666666666666, 0.9333333333333333, 0.95, 0.9666666666666667, 0.9833333333333333, 1.0]"
"[192.0, 195.0, 209.0, 222.0, 308.0, 308.0, 310.0, 356.0, 374.0, 404.0, 419.0, 420.0, 420.0, 495.0, 522.0, 524.0, 532.0, 546.0, 562.0, 567.0, 627.0, 652.0, 689.0, 726.0, 730.0, 742.0, 759.0, 791.0, 813.0, 847.0, 861.0, 913.0, 914.0, 914.0, 914.0, 914.0, 917.0, 990.0, 1025.0, 1130.0, 1460.0]","[0.024390243902439025, 0.04878048780487805, 0.07317073170731707, 0.0975609756097561, 0.12195121951219512, 0.14634146341463414, 0.17073170731707318, 0.1951219512195122, 0.21951219512195122, 0.24390243902439024, 0.2682926829268293, 0.2926829268292683, 0.3170731707317073, 0.34146341463414637, 0.36585365853658536, 0.3902439024390244, 0.4146341463414634, 0.43902439024390244, 0.4634146341463415, 0.4878048780487805, 0.5121951219512195, 0.5365853658536586, 0.5609756097560976, 0.5853658536585366, 0.6097560975609756, 0.6341463414634146, 0.6585365853658537, 0.6829268292682927, 0.7073170731707317, 0.7317073170731707, 0.7560975609756098, 0.7804878048780488, 0.8048780487804879, 0.8292682926829268, 0.8536585365853658, 0.8780487804878049, 0.9024390243902439, 0.926829268292683, 0.9512195121951219, 0.975609756097561, 1.0]"
"[156.0, 209.0, 211.0, 238.0, 341.0, 359.0, 435.0, 597.0, 608.0, 619.0, 645.0, 793.0, 869.0, 881.0, 908.0, 910.0, 912.0, 912.0, 924.0, 1330.0, 1460.0]","[0.047619047619047616, 0.09523809523809523, 0.14285714285714285, 0.19047619047619047, 0.23809523809523808, 0.2857142857142857, 0.3333333333333333, 0.38095238095238093, 0.42857142857142855, 0.47619047619047616, 0.5238095238095238, 0.5714285714285714, 0.6190476190476191, 0.6666666666666666, 0.7142857142857143, 0.7619047619047619, 0.8095238095238095, 0.8571428571428571, 0.9047619047619048, 0.9523809523809523, 1.0]"
"[84.0, 134.0, 140.0, 161.0, 167.0, 168.0, 186.0, 252.0, 328.0, 385.0, 791.0, 852.0, 900.0, 903.0, 909.0, 911.0, 912.0, 914.0, 930.0, 932.0, 943.0, 987.0, 991.0, 1226.0, 1276.0, 1312.0]","[0.038461538461538464, 0.07692307692307693, 0.11538461538461539, 0.15384615384615385, 0.19230769230769232, 0.23076923076923078, 0.2692307692307692, 0.3076923076923077, 0.34615384615384615, 0.38461538461538464, 0.4230769230769231, 0.46153846153846156, 0.5, 0.5384615384615384, 0.5769230769230769, 0.6153846153846154, 0.6538461538461539, 0.6923076923076923, 0.7307692307692307, 0.7692307692307693, 0.8076923076923077, 0.8461538461538461, 0.8846153846153846, 0.9230769230769231, 0.9615384615384616, 1.0]"
"[245.0, 340.0, 388.0, 731.0, 743.0, 792.0, 844.0, 855.0, 884.0, 905.0, 911.0, 911.0, 911.0, 915.0, 917.0, 969.0]","[0.0625, 0.125, 0.1875, 0.25, 0.3125, 0.375, 0.4375, 0.5, 0.5625, 0.625, 0.6875, 0.75, 0.8125, 0.875, 0.9375, 1.0]"
"[89.0, 160.0, 164.0, 242.0, 798.0, 832.0, 889.0, 914.0, 914.0, 915.0, 916.0, 917.0, 945.0]","[0.07692307692307693, 0.15384615384615385, 0.23076923076923078, 0.3076923076923077, 0.38461538461538464, 0.46153846153846156, 0.5384615384615384, 0.6153846153846154, 0.6923076923076923, 0.7692307692307693, 0.8461538461538461, 0.9230769230769231, 1.0]"
[77.0],[1.0]
"[104.0, 174.0, 235.0]","[0.3333333333333333, 0.6666666666666666, 1.0]"
"[104.0, 174.0, 235.0]","[0.3333333333333333, 0.6666666666666666, 1.0]"
